epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8069.94,2.29344,0.99412,1.27426,0.47173,0.37842,0.37437,0.21509,3.0462,0.89407,1.23867,0.009664,0.009664,0.009664
44,8254.69,2.27124,0.99782,1.27422,0.46063,0.38111,0.37359,0.21351,3.05143,0.89482,1.23959,0.009656,0.009656,0.009656
45,8439.26,2.25419,0.98612,1.26813,0.4683,0.37802,0.37257,0.21351,3.02336,0.89167,1.23485,0.009648,0.009648,0.009648
46,8624.3,2.26355,0.97999,1.26441,0.45591,0.38609,0.37663,0.21657,3.01367,0.88917,1.23119,0.00964,0.00964,0.00964
47,8809.16,2.26623,0.98253,1.26884,0.46067,0.38658,0.37721,0.21739,3.0034,0.88377,1.23004,0.009632,0.009632,0.009632
48,8993.93,2.23125,0.98164,1.2619,0.46835,0.38485,0.37724,0.2179,3.00816,0.88021,1.23198,0.009624,0.009624,0.009624
49,9178.56,2.24244,0.96876,1.25964,0.48069,0.38237,0.38174,0.21975,2.98939,0.87519,1.22836,0.009616,0.009616,0.009616
50,9363.7,2.24577,0.9749,1.26446,0.46675,0.38972,0.37908,0.21843,2.96936,0.87465,1.22564,0.009608,0.009608,0.009608
51,9548.17,2.2095,0.97249,1.2588,0.46132,0.39488,0.38494,0.22096,2.96898,0.87449,1.22508,0.0096,0.0096,0.0096
52,9732.96,2.22274,0.973,1.26029,0.46084,0.39588,0.38465,0.2205,2.96783,0.86776,1.22409,0.009592,0.009592,0.009592
53,9917.77,2.21145,0.95908,1.25695,0.46401,0.39496,0.38735,0.22362,2.94906,0.86584,1.22056,0.009584,0.009584,0.009584
54,10102.2,2.20629,0.96402,1.25333,0.46238,0.39987,0.3892,0.22446,2.94177,0.86178,1.21853,0.009576,0.009576,0.009576
55,10286.8,2.18706,0.95543,1.25337,0.47747,0.39228,0.38876,0.22442,2.93128,0.85747,1.21692,0.009568,0.009568,0.009568
56,10471.3,2.18019,0.95118,1.25486,0.4724,0.39555,0.39079,0.22614,2.92984,0.85476,1.21592,0.00956,0.00956,0.00956
57,10656.2,2.19168,0.94887,1.25011,0.46779,0.39434,0.38948,0.22474,2.92187,0.85535,1.21465,0.009552,0.009552,0.009552
58,10841.1,2.18155,0.94811,1.24872,0.46993,0.39818,0.39116,0.2265,2.91508,0.85428,1.21428,0.009544,0.009544,0.009544
59,11026.8,2.17333,0.93875,1.24588,0.48508,0.39685,0.39461,0.2278,2.90276,0.84975,1.21208,0.009536,0.009536,0.009536
60,11211.7,2.17102,0.9403,1.24829,0.48541,0.39856,0.3973,0.22859,2.89542,0.84799,1.21075,0.009528,0.009528,0.009528
61,11396.4,2.15143,0.93647,1.24025,0.46087,0.41389,0.39835,0.2303,2.89336,0.84576,1.21016,0.00952,0.00952,0.00952
62,11580.9,2.12591,0.93251,1.24125,0.47028,0.41254,0.39919,0.23126,2.87903,0.84165,1.20711,0.009512,0.009512,0.009512
63,11765.2,2.1337,0.93376,1.24353,0.48072,0.40246,0.39948,0.23161,2.86758,0.83921,1.20637,0.009504,0.009504,0.009504
64,11949.6,2.14703,0.92916,1.24204,0.46919,0.40629,0.39923,0.23032,2.87263,0.83824,1.20699,0.009496,0.009496,0.009496
65,12133.9,2.12749,0.93548,1.24107,0.50113,0.39992,0.40476,0.23308,2.86029,0.83658,1.20387,0.009488,0.009488,0.009488
66,12319.5,2.14482,0.92852,1.23575,0.48756,0.41042,0.40613,0.23472,2.85329,0.83106,1.20285,0.00948,0.00948,0.00948
67,12503.6,2.11943,0.92167,1.23317,0.47656,0.41455,0.4062,0.2351,2.84631,0.83105,1.20206,0.009472,0.009472,0.009472
68,12687.9,2.11488,0.92005,1.23356,0.48665,0.4122,0.40582,0.23449,2.84326,0.82886,1.20163,0.009464,0.009464,0.009464
69,12872.3,2.11517,0.92187,1.23416,0.48601,0.41015,0.40732,0.23539,2.8357,0.82576,1.1999,0.009456,0.009456,0.009456
70,13057,2.1573,0.91652,1.2348,0.48505,0.41244,0.40861,0.23644,2.83032,0.82408,1.19897,0.009448,0.009448,0.009448
71,13247.5,2.09041,0.91247,1.2309,0.48611,0.41061,0.40898,0.23657,2.82855,0.82233,1.19838,0.00944,0.00944,0.00944
72,13434.4,2.11358,0.91567,1.23248,0.50211,0.40599,0.40924,0.23729,2.82764,0.82234,1.19902,0.009432,0.009432,0.009432
73,13618.9,2.11407,0.90944,1.23175,0.49044,0.4133,0.41064,0.23832,2.81973,0.82183,1.19775,0.009424,0.009424,0.009424
74,13802.8,2.1001,0.90666,1.22808,0.49787,0.41365,0.41286,0.23919,2.81601,0.81789,1.19662,0.009416,0.009416,0.009416
75,13987.6,2.09435,0.90592,1.22601,0.49309,0.41669,0.41341,0.23925,2.81232,0.81605,1.19505,0.009408,0.009408,0.009408
76,14171.9,2.10812,0.90881,1.22892,0.48321,0.42091,0.413,0.23895,2.80716,0.81522,1.19448,0.0094,0.0094,0.0094
77,14356,2.09257,0.90417,1.22285,0.48383,0.42213,0.41489,0.24034,2.80104,0.81447,1.19314,0.009392,0.009392,0.009392
78,14540.3,2.08022,0.90625,1.22424,0.47514,0.42319,0.41514,0.24037,2.79788,0.8135,1.19322,0.009384,0.009384,0.009384
79,14724.3,2.07299,0.89637,1.22775,0.47943,0.42502,0.41473,0.24086,2.79441,0.81119,1.19217,0.009376,0.009376,0.009376
80,14908.7,2.09268,0.89772,1.22149,0.48572,0.41917,0.41541,0.24137,2.7888,0.80972,1.19155,0.009368,0.009368,0.009368
81,15093.3,2.07837,0.89852,1.2226,0.50264,0.41382,0.41857,0.24234,2.78802,0.80725,1.19076,0.00936,0.00936,0.00936
82,15278,2.09006,0.89167,1.22053,0.50558,0.41435,0.41882,0.24259,2.77953,0.80569,1.18943,0.009352,0.009352,0.009352
83,15462.2,2.05989,0.89006,1.22078,0.50283,0.41935,0.41927,0.24311,2.77814,0.80491,1.18948,0.009344,0.009344,0.009344
84,15646.9,2.05902,0.89527,1.21852,0.50652,0.41443,0.42002,0.24349,2.7694,0.803,1.18875,0.009336,0.009336,0.009336
85,15831.4,2.06651,0.88825,1.21695,0.499,0.41979,0.41818,0.24317,2.76397,0.80278,1.18824,0.009328,0.009328,0.009328
86,16016,2.08053,0.89069,1.21749,0.50134,0.42096,0.41951,0.24318,2.76193,0.80075,1.18719,0.00932,0.00932,0.00932
87,16200.5,2.05813,0.88918,1.21564,0.50028,0.41946,0.42079,0.24442,2.75502,0.8006,1.18608,0.009312,0.009312,0.009312
88,16385.2,2.08629,0.887,1.21944,0.49454,0.42546,0.42032,0.24418,2.75438,0.7998,1.18561,0.009304,0.009304,0.009304
89,16569.7,2.04383,0.88401,1.21706,0.49759,0.42169,0.42185,0.24542,2.75371,0.7984,1.18542,0.009296,0.009296,0.009296
90,16754.5,2.04522,0.88092,1.21762,0.48752,0.43119,0.42289,0.24561,2.7502,0.79725,1.18481,0.009288,0.009288,0.009288
91,16939.5,2.06853,0.88036,1.21683,0.50694,0.42588,0.42345,0.24589,2.7486,0.79496,1.18426,0.00928,0.00928,0.00928
92,17124,2.04196,0.88651,1.21531,0.49755,0.43034,0.42454,0.24729,2.74531,0.79317,1.18355,0.009272,0.009272,0.009272
93,17308.5,2.02666,0.88372,1.21284,0.49367,0.43285,0.42554,0.2472,2.74147,0.79162,1.1833,0.009264,0.009264,0.009264
94,17493.2,2.02883,0.88468,1.21099,0.49507,0.43418,0.42577,0.24762,2.73768,0.79063,1.18271,0.009256,0.009256,0.009256
95,17677.8,2.01821,0.87842,1.20809,0.49471,0.43646,0.428,0.24862,2.73624,0.78937,1.18203,0.009248,0.009248,0.009248
96,17862.2,2.02437,0.87416,1.20827,0.4986,0.43515,0.42904,0.24907,2.73291,0.78753,1.18137,0.00924,0.00924,0.00924
97,18046.6,2.01443,0.87135,1.20925,0.48787,0.43962,0.42916,0.24969,2.72819,0.78721,1.18098,0.009232,0.009232,0.009232
98,18230.9,2.01626,0.86818,1.2091,0.50477,0.43319,0.43043,0.25025,2.72379,0.78589,1.18072,0.009224,0.009224,0.009224
99,18420.8,2.01063,0.87215,1.21281,0.5013,0.43745,0.43082,0.25018,2.72074,0.78509,1.18016,0.009216,0.009216,0.009216
100,18618.1,2.01836,0.87017,1.20903,0.49933,0.43898,0.4307,0.25083,2.7152,0.7839,1.17937,0.009208,0.009208,0.009208
101,18804.5,2.02044,0.86704,1.20589,0.5057,0.43532,0.43141,0.25158,2.71491,0.78241,1.17911,0.0092,0.0092,0.0092
102,18988.8,2.0099,0.86304,1.20791,0.5042,0.4391,0.43214,0.2518,2.71226,0.78113,1.17849,0.009192,0.009192,0.009192
103,19172.8,1.99479,0.86221,1.20445,0.5038,0.44063,0.43283,0.25223,2.7084,0.78121,1.17746,0.009184,0.009184,0.009184
104,19357,1.99598,0.86144,1.20304,0.50895,0.43846,0.43233,0.25227,2.70386,0.7807,1.17697,0.009176,0.009176,0.009176
105,19541,2.00956,0.86089,1.2055,0.51272,0.43618,0.43357,0.25284,2.70262,0.78037,1.17689,0.009168,0.009168,0.009168
106,19725,1.99612,0.85932,1.20409,0.51927,0.43252,0.43399,0.25305,2.70056,0.77956,1.17648,0.00916,0.00916,0.00916
107,19908.9,1.9787,0.86384,1.20075,0.51504,0.43489,0.43411,0.25302,2.69894,0.77909,1.17632,0.009152,0.009152,0.009152
108,20093.2,1.98389,0.85465,1.20088,0.52486,0.4292,0.43398,0.25332,2.69469,0.77868,1.17548,0.009144,0.009144,0.009144
109,20276.9,1.98316,0.85523,1.20345,0.50721,0.43683,0.4339,0.25364,2.68989,0.77879,1.17449,0.009136,0.009136,0.009136
110,20460.9,1.98146,0.85346,1.20091,0.50727,0.43919,0.43421,0.254,2.68903,0.77845,1.17434,0.009128,0.009128,0.009128
111,20644.7,1.98442,0.85417,1.20289,0.50734,0.4398,0.43501,0.25408,2.6872,0.7782,1.17409,0.00912,0.00912,0.00912
112,20828.8,1.99062,0.85317,1.19799,0.50275,0.44187,0.43415,0.25374,2.68472,0.7777,1.17379,0.009112,0.009112,0.009112
113,21012.4,1.98157,0.8565,1.20296,0.508,0.4414,0.43428,0.25387,2.68181,0.77662,1.17329,0.009104,0.009104,0.009104
114,21196,1.98725,0.85675,1.19913,0.50782,0.44068,0.43452,0.25397,2.67888,0.77607,1.17284,0.009096,0.009096,0.009096
115,21379.8,1.97581,0.84793,1.19815,0.51282,0.43938,0.43507,0.25452,2.67732,0.7758,1.17237,0.009088,0.009088,0.009088
116,21563.2,1.98735,0.84855,1.20186,0.51021,0.44043,0.43504,0.25462,2.67494,0.77524,1.17195,0.00908,0.00908,0.00908
117,21747.3,1.96583,0.84862,1.19419,0.51013,0.44164,0.43489,0.25469,2.67092,0.77408,1.17142,0.009072,0.009072,0.009072
118,21931.5,1.9788,0.83969,1.19803,0.51246,0.4406,0.43556,0.25466,2.67049,0.77331,1.17117,0.009064,0.009064,0.009064
119,22115.2,1.95663,0.84729,1.19534,0.51691,0.43793,0.43556,0.25512,2.66863,0.77277,1.17074,0.009056,0.009056,0.009056
120,22298.9,1.97309,0.84902,1.19571,0.51463,0.43812,0.43627,0.25569,2.66709,0.77188,1.17037,0.009048,0.009048,0.009048
121,22483,1.95113,0.84656,1.19591,0.51992,0.43668,0.43642,0.25562,2.66543,0.77098,1.16974,0.00904,0.00904,0.00904
122,22666.5,1.96839,0.84013,1.19362,0.52154,0.43649,0.43694,0.25611,2.66298,0.77032,1.16945,0.009032,0.009032,0.009032
123,22850.7,1.93922,0.83971,1.19394,0.51875,0.43829,0.43716,0.25602,2.66136,0.76965,1.16903,0.009024,0.009024,0.009024
124,23034.9,1.96259,0.84662,1.19099,0.52024,0.43794,0.43779,0.25616,2.66073,0.76905,1.16889,0.009016,0.009016,0.009016
125,23218.4,1.96364,0.83736,1.1924,0.52024,0.4389,0.43875,0.25664,2.65897,0.76829,1.16869,0.009008,0.009008,0.009008
126,23402.5,1.94224,0.84032,1.18987,0.51864,0.44145,0.43924,0.25668,2.65614,0.76776,1.16841,0.009,0.009,0.009
127,23586.3,1.94207,0.83606,1.19052,0.51944,0.44092,0.4387,0.25674,2.6554,0.76716,1.16823,0.008992,0.008992,0.008992
128,23770.4,1.96082,0.83602,1.18811,0.51512,0.4436,0.43917,0.25698,2.65384,0.76663,1.16793,0.008984,0.008984,0.008984
129,23954.2,1.93688,0.83893,1.18941,0.51967,0.44069,0.43965,0.25714,2.6523,0.7658,1.16758,0.008976,0.008976,0.008976
130,24138,1.92211,0.83094,1.18795,0.51907,0.44228,0.44009,0.25716,2.65135,0.76513,1.16735,0.008968,0.008968,0.008968
131,24322.4,1.94544,0.83509,1.18739,0.51599,0.44439,0.44044,0.2577,2.64987,0.76479,1.1671,0.00896,0.00896,0.00896
132,24507.3,1.94149,0.83545,1.18956,0.51691,0.44446,0.44036,0.2579,2.64808,0.76439,1.16689,0.008952,0.008952,0.008952
133,24691.5,1.92379,0.82698,1.18402,0.51432,0.44549,0.44071,0.25829,2.64783,0.7638,1.16695,0.008944,0.008944,0.008944
134,24879.1,1.9184,0.82875,1.18847,0.51555,0.44587,0.44122,0.25852,2.64504,0.7633,1.16658,0.008936,0.008936,0.008936
135,25063.1,1.92736,0.83094,1.18549,0.51574,0.44605,0.44167,0.25888,2.6437,0.76269,1.16611,0.008928,0.008928,0.008928
