epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6118.63,1.07965,1.13794,1.27855,0.54236,0.29953,0.30298,0.12073,2.09349,0.96136,1.26035,0.009664,0.009664,0.009664
44,6344.14,1.08725,1.13304,1.27927,0.54416,0.31249,0.31252,0.12494,2.09004,0.96098,1.25848,0.009656,0.009656,0.009656
45,6567.69,1.07989,1.12921,1.27647,0.55909,0.30661,0.31297,0.12577,2.08451,0.95174,1.2569,0.009648,0.009648,0.009648
46,6790.86,1.10164,1.12146,1.27524,0.56218,0.31651,0.31873,0.12821,2.07714,0.94475,1.25314,0.00964,0.00964,0.00964
47,7107.67,1.10259,1.12398,1.27984,0.57695,0.31875,0.32775,0.13287,2.07314,0.93883,1.25147,0.009632,0.009632,0.009632
48,7331.83,1.09011,1.11658,1.28071,0.61126,0.31912,0.32384,0.13067,2.06733,0.94461,1.25159,0.009624,0.009624,0.009624
49,7554.91,1.08595,1.11418,1.27365,0.64397,0.30564,0.32524,0.13155,2.06602,0.9398,1.24975,0.009616,0.009616,0.009616
50,7778.75,1.07775,1.1116,1.26955,0.5663,0.32176,0.32369,0.12978,2.0642,0.94052,1.24864,0.009608,0.009608,0.009608
51,8001.79,1.05013,1.11864,1.27517,0.56825,0.31748,0.32701,0.13316,2.05981,0.93193,1.24752,0.0096,0.0096,0.0096
52,8225.39,1.06925,1.10411,1.26564,0.61275,0.31167,0.33336,0.13508,2.05731,0.93099,1.24694,0.009592,0.009592,0.009592
53,8449.77,1.08901,1.10301,1.26321,0.57481,0.32467,0.33354,0.13447,2.05264,0.92744,1.24604,0.009584,0.009584,0.009584
54,8674.45,1.08621,1.10424,1.27043,0.61056,0.31854,0.33411,0.1354,2.0499,0.92493,1.24428,0.009576,0.009576,0.009576
