epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,748.935,0.32182,1.38195,1.39767,0.47817,0.52063,0.4577,0.2502,0.56385,1.1703,1.41512,0.009656,0.009656,0.009656
45,784.729,0.3402,1.40009,1.41236,0.52284,0.50366,0.45662,0.25201,0.55333,1.15747,1.40123,0.009648,0.009648,0.009648
46,813.741,0.35405,1.34163,1.39979,0.44059,0.49463,0.44498,0.22001,0.60479,1.22858,1.53731,0.00964,0.00964,0.00964
47,834.385,0.32767,1.32259,1.38057,0.45437,0.50284,0.44556,0.25045,0.57005,1.15843,1.4503,0.009632,0.009632,0.009632
48,850.69,0.35084,1.27174,1.3676,0.5025,0.4782,0.46074,0.25541,0.56155,1.1201,1.41062,0.009624,0.009624,0.009624
49,866.867,0.32945,1.3042,1.38047,0.47113,0.4953,0.44874,0.24518,0.56372,1.18305,1.41508,0.009616,0.009616,0.009616
50,884.052,0.33266,1.29398,1.35727,0.48096,0.46719,0.46119,0.26285,0.55462,1.1603,1.41011,0.009608,0.009608,0.009608
51,900.21,0.34006,1.33103,1.38294,0.4473,0.56158,0.47529,0.25925,0.56337,1.20559,1.43444,0.0096,0.0096,0.0096
52,916.793,0.33196,1.29661,1.37828,0.47851,0.46863,0.42845,0.23612,0.56754,1.17718,1.42748,0.009592,0.009592,0.009592
53,933.186,0.3067,1.31753,1.35313,0.31037,0.5339,0.35347,0.19778,0.61328,1.33855,1.50168,0.009584,0.009584,0.009584
54,950.652,0.33876,1.2663,1.38392,0.50153,0.47415,0.41945,0.22187,0.59213,1.31729,1.49558,0.009576,0.009576,0.009576
55,970.509,0.32231,1.23625,1.39125,0.40168,0.5364,0.4411,0.25172,0.56134,1.28863,1.42331,0.009568,0.009568,0.009568
56,986.674,0.30231,1.26488,1.35565,0.51497,0.47831,0.46874,0.25831,0.56073,1.06216,1.43228,0.00956,0.00956,0.00956
57,1005.36,0.31901,1.26767,1.36598,0.44722,0.45265,0.43226,0.23124,0.58621,1.16558,1.47349,0.009552,0.009552,0.009552
58,1023.37,0.32542,1.23355,1.35955,0.59093,0.4391,0.45282,0.25292,0.56749,1.22686,1.42098,0.009544,0.009544,0.009544
59,1040.4,0.33423,1.32856,1.37416,0.58318,0.46396,0.51058,0.28319,0.5447,1.05442,1.39542,0.009536,0.009536,0.009536
60,1058.1,0.33174,1.20007,1.36178,0.56479,0.55091,0.52962,0.29721,0.53513,1.02639,1.37711,0.009528,0.009528,0.009528
61,1074.38,0.33429,1.22128,1.3609,0.50223,0.50265,0.48679,0.26571,0.55054,1.20954,1.40324,0.00952,0.00952,0.00952
62,1090.62,0.33499,1.17248,1.34055,0.56059,0.49938,0.47956,0.25288,0.56219,1.1683,1.42481,0.009512,0.009512,0.009512
63,1106.97,0.32002,1.21792,1.35309,0.4725,0.59254,0.51448,0.28088,0.53173,1.02907,1.3688,0.009504,0.009504,0.009504
64,1123.58,0.32211,1.18893,1.34714,0.50168,0.58102,0.54488,0.30225,0.5351,0.96804,1.37493,0.009496,0.009496,0.009496
65,1139.74,0.32981,1.21367,1.35834,0.50069,0.5607,0.5247,0.29779,0.53193,1.02584,1.36875,0.009488,0.009488,0.009488
66,1156.32,0.31621,1.18966,1.33672,0.51023,0.50705,0.49803,0.27922,0.54378,1.05888,1.39183,0.00948,0.00948,0.00948
67,1172.71,0.31166,1.17358,1.34271,0.55059,0.44267,0.41502,0.22678,0.59346,1.33455,1.50704,0.009472,0.009472,0.009472
68,1189.78,0.3047,1.25607,1.34386,0.49093,0.58215,0.53418,0.30657,0.53754,1.07731,1.37622,0.009464,0.009464,0.009464
69,1206.64,0.31413,1.15903,1.32381,0.51697,0.4813,0.49395,0.2828,0.55302,1.11268,1.39241,0.009456,0.009456,0.009456
70,1222.85,0.30364,1.19394,1.33143,0.52632,0.57793,0.54245,0.30411,0.53364,1.09223,1.39487,0.009448,0.009448,0.009448
71,1239.05,0.29839,1.17076,1.33316,0.57579,0.56238,0.56659,0.3167,0.51743,0.98285,1.35078,0.00944,0.00944,0.00944
72,1255.64,0.32029,1.15849,1.35199,0.64805,0.53978,0.58298,0.33581,0.50566,0.99641,1.33556,0.009432,0.009432,0.009432
73,1272.33,0.30641,1.11454,1.31874,0.47785,0.50146,0.47843,0.26371,0.57676,1.16356,1.45184,0.009424,0.009424,0.009424
74,1288.97,0.31313,1.11137,1.3049,0.58372,0.54471,0.54837,0.31381,0.55363,0.99111,1.40361,0.009416,0.009416,0.009416
75,1305.17,0.30389,1.0965,1.30694,0.56703,0.59278,0.59643,0.33899,0.5327,0.94979,1.36315,0.009408,0.009408,0.009408
76,1324.7,0.28762,1.07747,1.31358,0.55193,0.56576,0.54404,0.30702,0.52483,1.02996,1.36542,0.0094,0.0094,0.0094
77,1341.19,0.31221,1.11379,1.33592,0.54998,0.5351,0.53158,0.31029,0.54347,1.10622,1.38007,0.009392,0.009392,0.009392
78,1359.16,0.3137,1.10397,1.31667,0.53262,0.59899,0.55623,0.31828,0.52744,1.00371,1.36666,0.009384,0.009384,0.009384
79,1375.5,0.30699,1.09727,1.30271,0.52759,0.54327,0.52454,0.2934,0.54321,1.10669,1.3959,0.009376,0.009376,0.009376
80,1392.1,0.30327,1.09381,1.29636,0.57737,0.51322,0.53553,0.30968,0.53331,1.08395,1.37432,0.009368,0.009368,0.009368
81,1408.54,0.28789,1.04315,1.29366,0.53649,0.54596,0.53832,0.31025,0.52455,1.07743,1.36388,0.00936,0.00936,0.00936
82,1424.74,0.29648,1.07154,1.29441,0.58715,0.5692,0.55667,0.31797,0.52546,1.00831,1.35624,0.009352,0.009352,0.009352
83,1440.99,0.30885,1.08636,1.31079,0.51277,0.57733,0.55828,0.31678,0.52922,1.01266,1.35607,0.009344,0.009344,0.009344
84,1457.17,0.32275,1.09108,1.28704,0.57724,0.52302,0.52341,0.29955,0.54159,1.0234,1.38146,0.009336,0.009336,0.009336
85,1473.43,0.30336,1.06306,1.28784,0.59572,0.48396,0.49467,0.27601,0.53414,1.3042,1.38647,0.009328,0.009328,0.009328
86,1489.63,0.29148,1.10009,1.314,0.52448,0.51259,0.51496,0.29256,0.5386,1.09812,1.38642,0.00932,0.00932,0.00932
87,1505.92,0.30194,1.0409,1.30752,0.50225,0.54621,0.51797,0.29738,0.54017,1.11406,1.38849,0.009312,0.009312,0.009312
88,1522.17,0.30533,1.06533,1.29374,0.4739,0.61809,0.5081,0.28858,0.54088,1.09419,1.39864,0.009304,0.009304,0.009304
89,1543.68,0.29959,1.03371,1.28399,0.54808,0.50654,0.53459,0.30792,0.5444,1.01196,1.38933,0.009296,0.009296,0.009296
90,1559.89,0.31639,1.02522,1.3155,0.52988,0.56975,0.56611,0.33264,0.5294,0.99701,1.36695,0.009288,0.009288,0.009288
91,1576.06,0.27393,1.08222,1.29228,0.59037,0.54554,0.56821,0.32584,0.52495,0.97131,1.36876,0.00928,0.00928,0.00928
92,1592.85,0.31108,1.04402,1.3031,0.46891,0.55514,0.51328,0.29252,0.55532,1.06306,1.41956,0.009272,0.009272,0.009272
