epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6463.6,4.00716,1.11936,1.50942,0.43481,0.39162,0.36178,0.2061,5.21807,0.99153,1.4707,0.009664,0.009664,0.009664
44,6864.11,3.997,1.12166,1.51005,0.43662,0.38846,0.36622,0.20966,5.21226,0.98496,1.47194,0.009656,0.009656,0.009656
45,7147.28,3.98745,1.11188,1.50595,0.43952,0.3912,0.37049,0.21105,5.17552,0.98056,1.46784,0.009648,0.009648,0.009648
46,7459.9,3.97628,1.10566,1.50319,0.44042,0.39757,0.37223,0.21324,5.16116,0.9791,1.46307,0.00964,0.00964,0.00964
47,360.142,4.01724,1.09731,1.50169,0.44865,0.39454,0.37071,0.21245,5.1649,0.9756,1.46345,0.009632,0.009632,0.009632
48,686.366,3.94493,1.09779,1.49688,0.4525,0.39288,0.37319,0.21424,5.123,0.97003,1.4588,0.009624,0.009624,0.009624
49,1017.28,3.98466,1.09694,1.49909,0.4499,0.39838,0.37891,0.217,5.11372,0.96284,1.45661,0.009616,0.009616,0.009616
50,1304.51,3.94736,1.08878,1.49849,0.45999,0.39142,0.37864,0.21764,5.08936,0.95984,1.45342,0.009608,0.009608,0.009608
51,1601.51,3.95228,1.08785,1.49158,0.46244,0.39149,0.37998,0.21825,5.0875,0.96058,1.45113,0.0096,0.0096,0.0096
52,1942.2,3.97589,1.08915,1.48447,0.45792,0.3965,0.38371,0.22061,5.04352,0.95288,1.44547,0.009592,0.009592,0.009592
53,2280.14,3.94358,1.08446,1.49004,0.46577,0.39404,0.38464,0.22177,5.03992,0.9518,1.4454,0.009584,0.009584,0.009584
54,2646.02,3.83583,1.06907,1.47972,0.46764,0.39844,0.3866,0.22133,5.04684,0.94667,1.44598,0.009576,0.009576,0.009576
